,name,mean
0,crossing,49.7320894
1,finishing,45.34735083
2,heading_accuracy,52.10123233
3,short_passing,58.54424563
4,volleys,42.69184711
5,dribbling,55.25384669
6,curve,47.08883938
7,freekick_accuracy,42.66908028
8,long_passing,52.66490288
9,ball_control,58.19292627
10,acceleration,64.64735779
11,sprint_speed,64.758964
12,agility,63.33454014
13,balance,63.87788067
14,shot_power,55.2783541
15,jumping,64.91512915
16,stamina,63.10255518
17,strength,65.17036831
18,long_shots,46.83478382
19,aggression,55.81417531
20,interceptions,46.62382511
21,positioning,49.82615053
22,vision,53.39420734
23,penalties,48.35424354
24,composure,58.68084662
25,marking,47.09120657
26,standing_tackle,47.67646035
27,sliding_tackle,45.67861867
28,GK_diving,16.84153728
29,GK_handling,16.6211098
30,GK_kicking,16.43124695
31,GK_positioning,16.59555803
32,GK_reflexes,16.95244726
33,weak_foot(1-5),2.946738147
34,skill_moves(1-5),2.358560189
35,ST,59.8917343
36,LS,59.8917343
37,RS,59.8917343
38,LW,61.16578678
39,LF,60.82270901
40,CF,60.82270901
41,RF,60.82270901
42,RW,61.16578678
43,LAM,61.086518
44,CAM,61.086518
45,RAM,61.086518
46,LM,61.87652667
47,LCM,60.32708218
48,CM,60.32708218
49,RCM,60.32708218
50,RM,61.87652667
51,LWB,59.67457253
52,LDM,58.9429517
53,CDM,58.9429517
54,RDM,58.9429517
55,RWB,59.67457253
56,LB,58.97068789
57,LCB,57.72161374
58,CB,57.72161374
59,RCB,57.72161374
60,RB,58.97068789
61,wage,9888.371437
62,release_clause_euro,4622436.457
63,overall_rating,66.25767597
64,potential,71.43535473
65,international_reputation(1-5),1.110701107
66,reactions,61.86701942
67,value,2481203.671
